Id;movie_title;title_year;color;duration;genres;movie_facebook_likes;director_name;director_facebook_likes;num_critic_for_reviews;num_user_for_reviews;actor_1_name;actor_2_name;actor_3_name;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;gross;num_voted_users;cast_total_facebook_likes;plot_keywords;language;country;content_rating;budget;aspect_ratio;imdb_score;tomato_score;tomato_audience_score;label
1;Something Wild;1986;Color;113;Action|Comedy|Drama;;;;;;;;;;;;8362969;;;;English;;;0;;6,5;38%;80%;1
2;Tiger Orange;2014;Color;75;Drama;182;Wade Gasque;0;13;8;Ty Parker;Vincent Duvall;Loanne Bishop;267;87;46;;683;488;coming out|father son relationship|gay|gay brother|toilet sex;English;USA;Unrated;100000;1.78;6,8;76%;100%;0
3;Cast Away;2000;Color;143;Adventure|Drama|Romance;23000;Robert Zemeckis;0;221;1051;Tom Hanks;Paul Sanchez;Nick Searcy;15000;410;272;233630478;394317;15838;christmas|island|love|survival|talking to inanimate object;English;USA;PG-13;90000000;1.85;7,7;17%;62%;1
4;The Sisterhood of the Traveling Pants;2005;Color;119;Comedy|Drama|Family|Romance;0;Ken Kwapis;42;88;223;Mike Vogel;America Ferrera;Kyle Schmid;2000;953;917;39008741;44838;6862;friendship|jeans|pants|summer|vacation;English;USA;PG;25000000;2.35;6,6;35%;93%;1
5;Fight Valley;2016;Color;90;Action|Drama;1000;Rob Hawk;97;6;6;Kari J. Kramer;Erin O'Brien;Cabrina Collesides;731;634;319;;60;2374;;English;USA;;27000000;;5;49%;27%;0
6;Batman Returns;1992;Color;126;Action;0;Tim Burton;13000;153;610;Michael Gough;Vincent Schiavelli;Andrew Bryniarski;920;811;390;162831698;215255;2899;box office hit|dc comics|gotham|mayor|penguin;English;USA;PG-13;80000000;1.85;7;75%;2%;1
7;Dragnet;1987;Color;106;Action|Comedy|Crime;;;;;;;;;;;;66673516;;;;English;;;20000000;;5,7;14%;43%;0
8;Zelig;1983;Color;79;Comedy;;;;;;;;;;;;11798616;;;;English;;;0;;7,4;18%;96%;0
9;Batman: The Movie;1966;Color;105;Adventure|Comedy|Family;0;Leslie H. Martinson;7;53;155;Burgess Meredith;Cesar Romero;Burt Ward;1000;370;356;;22975;2658;black cat|catwoman|dc comics|penguin|riddler;English;USA;Approved;1377800;1.85;6,5;82%;59%;0
10;The Wiz;1978;Color;118;Adventure|Family|Fantasy|Music|Musical;0;Sidney Lumet;0;32;150;Lena Horne;Diana Ross;Theresa Merritt;738;295;227;13000000;10895;1458;melancholy|new york city|sadness|teacher|wizard;English;USA;G;24000000;1.85;5,2;80%;49%;0
11;Paris is Burning;1990;Color;71;Documentary;;;;;;;;;;;;3779620;;;;English;;;500000;;8,2;89%;11%;0
12;After.Life;2009;Color;104;Drama|Horror|Mystery|Thriller;7000;Agnieszka Wojtowicz-Vosloo;0;138;137;Liam Neeson;Josh Charles;Chandler Canterbury;14000;1000;329;108229;30836;15860;breath on mirror|buried alive|engagement ring|looking at one's self in a mirror|serial killer;English;USA;R;4500000;2.35;5,9;31%;2%;0
13;Mr. Saturday Night;1992;Color;119;Drama|Comedy;;;;;;;;;;;;13300000;;;;English;;;43000000;;5,2;27%;16%;0
14;The Pagemaster;1994;Color;80;Fantasy|Science Fiction|Family;;;;;;;;;;;;13670688;;;;English;;;27000000;;6,2;31%;92%;0
15;A Bigger Splash;2015;Color;120;Crime|Drama|Mystery;;;;;;;;;;;;1982505;;;;English;;;0;;6;5%;46%;0
16;Sex and the City            ;;Color;30;Comedy|Romance;0;;;46;238;Chris Noth;Kristin Davis;Cynthia Nixon;962;722;479;;80025;2558;casual sex|friendship|friendship between women|gay|singles;English;USA;TV-MA;;1.33;7;92%;62%;0
17;Beyond the Black Rainbow;2010;Color;110;Sci-Fi|Thriller;0;Panos Cosmatos;22;97;82;Chris Gauthier;Marilyn Norry;Eva Bourne;434;95;48;56129;6555;645;exploitation|four word title|hallucinogen|lynchian|telepathy;English;Canada;R;1100000;2.35;6,1;34%;48%;0
18;Sully;2016;Color;96;Drama|History;;;;;;;;;;;;238470033;;;;English;;;60000000;;7;4%;4%;1
19;Aqua Teen Hunger Force Colon Movie Film for Theaters;2007;Color;86;Action|Adventure|Animation|Comedy|Fantasy|Sci-Fi;307;Matt Maiellaro;8;82;73;Tina Fey;Fred Armisen;Chris Kattan;2000;424;357;5518918;12160;3071;based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot;English;USA;R;750000;1.85;6,9;0%;40%;0
20;Flashbacks of a Fool;2008;Color;110;Drama;;;;;;;;;;;;1107542;;;;English;;;0;;7,1;31%;76%;1
21;Disturbia;2007;Color;105;Drama|Mystery|Thriller;0;D.J. Caruso;154;253;491;Sarah Roemer;Aaron Yoo;Jose Pablo Cantillo;884;617;502;80050171;186982;2288;binoculars|electronic tag|house arrest|neighbor|watching someone;English;USA;PG-13;20000000;1.85;6,9;76%;19%;1
22;The Box;2009;Color;115;Drama|Fantasy|Mystery|Thriller;0;Richard Kelly;219;287;376;Frank Langella;Gillian Jacobs;Celia Weston;902;837;258;15045676;76303;2466;alien|library|moral dilemma|nosebleed|supernatural power;English;USA;PG-13;16000000;2.35;5,6;3%;39%;0
23;Band of the Hand;1986;Color;109;Action|Crime|Drama;;;;;;;;;;;;4865912;;;;English;;;8700000;;6,9;6%;27%;0
24;Everest;2015;Color;121;Adventure|Biography|Drama|History|Sport|Thriller;40000;Baltasar Korm†kur;175;361;265;Michael Kelly;Martin Henderson;Tom Goodman-Hill;963;580;221;43247140;134625;2131;blizzard|mount everest|mountain|mountain climbing|snow;English;UK;PG-13;55000000;2.35;7,1;98%;78%;0
